id,company,website,hq_city,hq_country,ca_office_city,source_list,employees_total,employees_canada,funding,stage,healthcare_vertical,hostable_space,ca_marketing_contact,sales_motion,category_stake,runs_own_events,sponsors_health_events,trigger,needs_demo,status,note,last_enriched,evidence
dental-sw-0,ABELDent,,,Canada,,corporate-targets A1,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,CDCP 2026-27 benefit year opened 1 Jul 2026; grids revised 1 Apr 2026,yes,new,Buyer is the practice owner. Conflicted as co-host in a dental room.,,
dental-sw-1,MaxiDent,,,Canada,,corporate-targets A1,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,CDCP 2026-27 benefit year opened 1 Jul 2026; grids revised 1 Apr 2026,yes,new,Buyer is the practice owner. Conflicted as co-host in a dental room.,,https://slashdot.org/software/dental-practice-management/in-canada/
dental-sw-2,ClearDent,,,Canada,,corporate-targets A1,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,CDCP 2026-27 benefit year opened 1 Jul 2026; grids revised 1 Apr 2026,yes,new,Buyer is the practice owner. Conflicted as co-host in a dental room.,,https://slashdot.org/software/dental-practice-management/in-canada/
dental-sw-3,Dentitek,,,Canada,,corporate-targets A1,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,CDCP 2026-27 benefit year opened 1 Jul 2026; grids revised 1 Apr 2026,yes,new,Buyer is the practice owner. Conflicted as co-host in a dental room.,,https://slashdot.org/software/dental-practice-management/in-canada/
dental-sw-4,Smilepass,,,Canada,Toronto,corporate-targets A1,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,CDCP 2026-27 benefit year opened 1 Jul 2026; grids revised 1 Apr 2026,yes,new,Buyer is the practice owner. Conflicted as co-host in a dental room.,,https://dentalrx.ca/articles/canadian-dental-software
dental-sw-5,Henry Schein One Canada (Dentrix),,,Canada,,corporate-targets A1,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,CDCP 2026-27 benefit year opened 1 Jul 2026; grids revised 1 Apr 2026,yes,new,Buyer is the practice owner. Conflicted as co-host in a dental room.,,https://dentalrx.ca/articles/canadian-dental-software
dental-sw-6,Curve Dental,,,Canada,,corporate-targets A1,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,CDCP 2026-27 benefit year opened 1 Jul 2026; grids revised 1 Apr 2026,yes,new,Buyer is the practice owner. Conflicted as co-host in a dental room.,,
dso-0,dentalcorp,,,Canada,Toronto,corporate-targets A2,,,unknown,unknown,yes,unknown,unknown,sales-led,adjacent,unknown,unknown,,no,new,Employer brand budget. No regulatory review.,,
dso-1,123Dentist,,,Canada,,corporate-targets A2,,,unknown,unknown,yes,unknown,unknown,sales-led,adjacent,unknown,unknown,,no,new,Employer brand budget. No regulatory review.,,
dso-2,Altima Dental,,,Canada,,corporate-targets A2,,,unknown,unknown,yes,unknown,unknown,sales-led,adjacent,unknown,unknown,,no,new,Employer brand budget. No regulatory review.,,
dental-ai-0,Pearl,,,unknown,,corporate-targets A4,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,,yes,new,Product needs explaining. Strong meetup fit.,,
dental-ai-1,Overjet,,,unknown,,corporate-targets A4,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,,yes,new,Product needs explaining. Strong meetup fit.,,
dental-ai-2,VideaHealth,,,unknown,,corporate-targets A4,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,,yes,new,Product needs explaining. Strong meetup fit.,,
dental-ai-3,Denti.AI,,,unknown,,corporate-targets A4,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,,yes,new,Product needs explaining. Strong meetup fit.,,
dental-ai-4,3Shape Canada,,,unknown,,corporate-targets A4,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,,yes,new,Product needs explaining. Strong meetup fit.,,
dental-ai-5,Medit,,,unknown,,corporate-targets A4,,,unknown,unknown,yes,unknown,unknown,sales-led,conflicted,unknown,unknown,,yes,new,Product needs explaining. Strong meetup fit.,,
