tier,name,title,company,city,why_they_fit,confidence,linkedin_search,google_linkedin_search
1 Mississauga,Dave Wessinger,Co-founder & CEO,PointClickCare,Mississauga,"Closest peer in the country. Care-data platform, 2,000+ staff, Mississauga HQ. Same category, same city, larger scale.",Name and role confirmed,https://www.linkedin.com/search/results/people/?keywords=Dave%20Wessinger%20PointClickCare,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Dave%20Wessinger%22%20%22PointClickCare%22
1 Mississauga,Mike Wessinger,Co-founder,PointClickCare,Mississauga,"Co-founded with his brother. Listed in the same CCI CEO directory as the Smile CEO, so a shared network is likely.","Name confirmed, current title needs checking",https://www.linkedin.com/search/results/people/?keywords=Mike%20Wessinger%20PointClickCare,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Mike%20Wessinger%22%20%22PointClickCare%22
1 Mississauga,Karli Farrow,President & CEO,Trillium Health Partners,Mississauga,"The buyer side, ten minutes away. One of the largest hospital networks in Canada, building the country's largest hospital.",Name and role confirmed,https://www.linkedin.com/search/results/people/?keywords=Karli%20Farrow%20Trillium%20Health%20Partners,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Karli%20Farrow%22%20%22Trillium%20Health%20Partners%22
1 Mississauga,Gaby Bourbara,President,AstraZeneca Canada,Mississauga,"2,400 staff at a Mississauga HQ. Appointed March 2024.","Name confirmed, verify still in post",https://www.linkedin.com/search/results/people/?keywords=Gaby%20Bourbara%20AstraZeneca%20Canada,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Gaby%20Bourbara%22%20%22AstraZeneca%20Canada%22
1 Mississauga,Nicholas Green,CEO,Therapure BioPharma,Mississauga,"Canadian biopharma, Mississauga HQ, independent rather than a subsidiary.","Name found, verify currency",https://www.linkedin.com/search/results/people/?keywords=Nicholas%20Green%20Therapure%20BioPharma,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Nicholas%20Green%22%20%22Therapure%20BioPharma%22
1 Mississauga,,CEO or Canadian lead,Baylis Medical Technologies,Mississauga,Named by Invest Mississauga as an anchor medtech firm. Cardiac and surgical devices.,"Company confirmed, person not identified",https://www.linkedin.com/search/results/people/?keywords=Baylis%20Medical%20Technologies%20CEO%20or%20Canadian%20lead,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Baylis%20Medical%20Technologies%22%20%28CEO%20or%20Canadian%20lead%29
1 Mississauga,,Canadian country lead,Boston Scientific Canada,Mississauga,Named by Invest Mississauga as an anchor medtech firm.,"Company confirmed, person not identified",https://www.linkedin.com/search/results/people/?keywords=Boston%20Scientific%20Canada%20Canadian%20country%20lead,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Boston%20Scientific%20Canada%22%20%28Canadian%20country%20lead%29
1 Mississauga,,Canadian country lead,GE HealthCare Canada,Mississauga,Imaging and diagnostics. Named in the Mississauga medtech cluster.,"Company confirmed, person not identified",https://www.linkedin.com/search/results/people/?keywords=GE%20HealthCare%20Canada%20Canadian%20country%20lead,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22GE%20HealthCare%20Canada%22%20%28Canadian%20country%20lead%29
1 Mississauga,Tony Chahine,CEO,Myant,Mississauga / Etobicoke,"Connected textiles and continuous health monitoring. Founder-led, Canadian, data-heavy.",Verify HQ and title,https://www.linkedin.com/search/results/people/?keywords=Tony%20Chahine%20Myant,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Tony%20Chahine%22%20%22Myant%22
1 Mississauga,,President,Roche Canada,Mississauga,"$500M Mississauga investment, pharma HQ. Largest single life-sciences employer in the city.",Person not identified. Do not rely on older press names,https://www.linkedin.com/search/results/people/?keywords=Roche%20Canada%20President,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Roche%20Canada%22%20%28President%29
1 Mississauga,,President or GM,Amgen Canada,Mississauga,Mississauga HQ.,"Company location likely, person not identified",https://www.linkedin.com/search/results/people/?keywords=Amgen%20Canada%20President%20or%20GM,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Amgen%20Canada%22%20%28President%20or%20GM%29
1 Mississauga,,President or GM,Baxter Canada,Mississauga,Mississauga HQ.,"Company location likely, person not identified",https://www.linkedin.com/search/results/people/?keywords=Baxter%20Canada%20President%20or%20GM,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Baxter%20Canada%22%20%28President%20or%20GM%29
1 Mississauga,,President or GM,Philips Canada,Mississauga,Health systems and imaging. Mississauga HQ.,"Company location likely, person not identified",https://www.linkedin.com/search/results/people/?keywords=Philips%20Canada%20President%20or%20GM,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Philips%20Canada%22%20%28President%20or%20GM%29
1 Mississauga,,President or GM,Abbott Canada,Mississauga,Diagnostics and devices.,"Company location likely, person not identified",https://www.linkedin.com/search/results/people/?keywords=Abbott%20Canada%20President%20or%20GM,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Abbott%20Canada%22%20%28President%20or%20GM%29
1 Mississauga,,CEO,Rexall Pharmacy Group,Mississauga,Pharmacy chain HQ. Direct line to the pharmacist side of the room.,Verify HQ and person,https://www.linkedin.com/search/results/people/?keywords=Rexall%20Pharmacy%20Group%20CEO,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Rexall%20Pharmacy%20Group%22%20%28CEO%29
2 GTA peer founder-CEOs,Sachin Aggarwal,CEO,Think Research,Toronto,"The closest business-model peer outside Mississauga. Clinical decision support and knowledge platforms, sells to the same hospitals.",Name and role confirmed,https://www.linkedin.com/search/results/people/?keywords=Sachin%20Aggarwal%20Think%20Research,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Sachin%20Aggarwal%22%20%22Think%20Research%22
2 GTA peer founder-CEOs,Michael Millar,Founder & CEO,Verto Health,Toronto,Health data integration and patient flow. Direct category adjacency to a FHIR platform.,Name and role confirmed,https://www.linkedin.com/search/results/people/?keywords=Michael%20Millar%20Verto%20Health,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Michael%20Millar%22%20%22Verto%20Health%22
2 GTA peer founder-CEOs,Aaron Leibtag,Co-founder & CEO,Pentavere (HEALWELL AI),Toronto,Clinical AI over unstructured health data. Needs exactly the data layer Smile sells.,Name and role confirmed,https://www.linkedin.com/search/results/people/?keywords=Aaron%20Leibtag%20Pentavere%20%28HEALWELL%20AI%29,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Aaron%20Leibtag%22%20%22Pentavere%20%28HEALWELL%20AI%29%22
2 GTA peer founder-CEOs,Tomi Poutanen,Co-founder & CEO,Signal 1,Toronto,"Hospital AI, deployed at Unity Health. Also co-founded the Vector Institute, so he carries a second network.",Name and role confirmed,https://www.linkedin.com/search/results/people/?keywords=Tomi%20Poutanen%20Signal%201,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Tomi%20Poutanen%22%20%22Signal%201%22
2 GTA peer founder-CEOs,Albert Tai,Co-founder & CEO,Hypercare,Toronto,Clinical communication inside hospitals. Sells to the same buyer.,Name and role confirmed,https://www.linkedin.com/search/results/people/?keywords=Albert%20Tai%20Hypercare,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Albert%20Tai%22%20%22Hypercare%22
