id,company,tier,best,score,city,titles,google,linkedin
prof-4,Accenture Canada,A,Dinner,85,Toronto,Industry Marketing · Field Marketing · Brand Marketing · Business Development Director · Head of Marketing · Country Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Accenture%20Canada%22%20%28%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22%20OR%20%22Business%20Development%20Director%22%20OR%20%22Head%20of%20Marketing%22%20OR%20%22Country%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Accenture%20Canada%22%20%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
prof-5,BDO Canada,A,Dinner,85,Toronto,Industry Marketing · Field Marketing · Brand Marketing · Business Development Director · Head of Marketing · Country Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22BDO%20Canada%22%20%28%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22%20OR%20%22Business%20Development%20Director%22%20OR%20%22Head%20of%20Marketing%22%20OR%20%22Country%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22BDO%20Canada%22%20%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
law-4,Blakes,A,Dinner,85,Toronto,Industry Marketing · Field Marketing · Brand Marketing · Business Development Director · Head of Marketing · Country Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Blakes%22%20%28%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22%20OR%20%22Business%20Development%20Director%22%20OR%20%22Head%20of%20Marketing%22%20OR%20%22Country%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Blakes%22%20%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
law-7,Borden Ladner Gervais,A,Dinner,85,Toronto,Industry Marketing · Field Marketing · Brand Marketing · Business Development Director · Head of Marketing · Country Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Borden%20Ladner%20Gervais%22%20%28%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22%20OR%20%22Business%20Development%20Director%22%20OR%20%22Head%20of%20Marketing%22%20OR%20%22Country%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Borden%20Ladner%20Gervais%22%20%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
prof-0,Deloitte Canada,A,Dinner,85,Toronto,Industry Marketing · Field Marketing · Brand Marketing · Business Development Director · Head of Marketing · Country Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Deloitte%20Canada%22%20%28%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22%20OR%20%22Business%20Development%20Director%22%20OR%20%22Head%20of%20Marketing%22%20OR%20%22Country%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Deloitte%20Canada%22%20%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
prof-1,EY Canada,A,Dinner,85,Toronto,Industry Marketing · Field Marketing · Brand Marketing · Business Development Director · Head of Marketing · Country Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22EY%20Canada%22%20%28%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22%20OR%20%22Business%20Development%20Director%22%20OR%20%22Head%20of%20Marketing%22%20OR%20%22Country%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22EY%20Canada%22%20%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
rehab-1,Embodia,A,Meetup,85,Toronto,Head of Growth · Demand Generation · Growth Marketing · Field Marketing · Event Marketing · Community Manager · Partnerships Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Embodia%22%20%28%22Head%20of%20Growth%22%20OR%20%22Demand%20Generation%22%20OR%20%22Growth%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Event%20Marketing%22%20OR%20%22Community%20Manager%22%20OR%20%22Partnerships%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Embodia%22%20%22Head%20of%20Growth%22%20OR%20%22Demand%20Generation%22%20OR%20%22Growth%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
law-2,Fasken,A,Dinner,85,Toronto,Industry Marketing · Field Marketing · Brand Marketing · Business Development Director · Head of Marketing · Country Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Fasken%22%20%28%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22%20OR%20%22Business%20Development%20Director%22%20OR%20%22Head%20of%20Marketing%22%20OR%20%22Country%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Fasken%22%20%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
law-5,Gowling WLG,A,Dinner,85,Toronto,Industry Marketing · Field Marketing · Brand Marketing · Business Development Director · Head of Marketing · Country Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Gowling%20WLG%22%20%28%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22%20OR%20%22Business%20Development%20Director%22%20OR%20%22Head%20of%20Marketing%22%20OR%20%22Country%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Gowling%20WLG%22%20%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
prof-6,Grant Thornton Canada,A,Dinner,85,Toronto,Industry Marketing · Field Marketing · Brand Marketing · Business Development Director · Head of Marketing · Country Manager,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Grant%20Thornton%20Canada%22%20%28%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22%20OR%20%22Business%20Development%20Director%22%20OR%20%22Head%20of%20Marketing%22%20OR%20%22Country%20Manager%22%29%20%28Canada%20OR%20Toronto%20OR%20Ontario%29,https://www.linkedin.com/search/results/people/?keywords=%22Grant%20Thornton%20Canada%22%20%22Industry%20Marketing%22%20OR%20%22Field%20Marketing%22%20OR%20%22Brand%20Marketing%22&origin=GLOBAL_SEARCH_HEADER
